A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.493171794187745,9.146522028506814,Boldinasco,45.438103838649596,9.12344410061205,Ronchetto sul Naviglio,November,Friday,6,8540,9360,1068,4080
45.495930269328085,9.184817172485786,Isola,45.451444322973785,9.222726150761924,Ortomercato,February,Friday,20,6805,7088,1292,2581
45.436614138759275,9.215159013999614,Vaiano Valle,45.448595562453605,9.123862608003401,Lorenteggio,July,Tuesday,12,9441,9190,1421,3831
45.43043119070089,9.244232210382803,Rogoredo,45.47107361253959,9.253205097102622,Cascina Casanova,August,Tuesday,13,8122,7106,571,3688
45.46449502903967,9.145036753341875,Bande Nere,45.46381447967783,9.22854667448219,Corsica,December,Sunday,6,8790,10086,1258,4093
45.4273219612307,9.128322201966094,Ronchetto sul Naviglio,45.462785059111404,9.153320650306753,Washington,April,Sunday,5,6030,10732,744,4937
45.50509452750995,9.121368173507575,major cemetery of Milan,45.42710905098981,9.140951458478922,Boffalora,June,Sunday,5,12107,15320,1258,8501
45.48133144916641,9.137913687883922,Ippodromo del Galoppo,45.50408221524119,9.127048869324792,Garegnano,January,Sunday,12,4207,5333,643,2083
45.45292599584645,9.203352971038049,Porta Romana,45.51997790685121,9.172937055072914,Affori,January,Wednesday,4,9756,12696,1264,3630
45.43463234373323,9.193797026389836,Morivione,45.43694058044812,9.172468714993828,Moncucco,October,Friday,17,2856,2585,873,1669
45.43778632426052,9.144086517810916,Restocco Maroni,45.4865592745455,9.221657993047605,Loreto,January,Tuesday,18,12271,11609,1935,3498
45.42758559825416,9.202068191293636,Ripamonti,45.44541512711629,9.159269807782596,San Cristoforo,October,Saturday,21,5240,5675,658,3031
45.44059757705014,9.171510490423953,Moncucco,45.427456599632286,9.15587964986103,Quartiere Sant’Ambrogio,June,Saturday,22,3025,6544,370,1933
45.45639620293612,9.155271942726898,Washington,45.46948454946076,9.121727846286941,Quarto Cagnino,December,Tuesday,5,4212,3712,608,3351
45.47185679541791,9.123017111332084,San Siro,45.508112637265036,9.145827713729824,Villapizzone,August,Tuesday,7,8045,9077,1157,3998
45.502398719827376,9.118863384120338,Garegnano,45.509435785967725,9.190880744830656,Niguarda,June,Wednesday,20,12957,9027,1055,3751
45.515623620961655,9.228414538737255,Precotto,45.51390892777902,9.223373108417473,Precotto,February,Saturday,5,1007,496,210,539
45.499122199146555,9.192734502395801,Zona Zara,45.49481569003482,9.148151912578642,Cagnola,August,Saturday,23,4944,4918,649,2707
45.444196668537735,9.201664182333674,Scalo Romana,45.44519554884258,9.139913300715065,Giambellino,January,Thursday,0,6206,6094,813,3531
45.43094138598738,9.22997192360713,Nosedo,45.443941454713496,9.160356956355924,San Cristoforo,August,Tuesday,13,6814,7220,1236,3695
45.47643930380865,9.229544598463455,Città Studi,45.473083820012654,9.231795788347306,Città Studi,March,Monday,12,710,538,185,570
45.45198202180784,9.221043066969775,Umbria - Molise,45.48662974309986,9.185615748560465,GARIBALDI REPUBBLICA,July,Sunday,14,6675,5932,1091,2999
45.42426054568793,9.172563955812585,Stadera,45.48044761596041,9.251377219784187,Lambrate,February,Saturday,10,28172,14041,1418,4625
45.470722419351574,9.159694208788142,Pagano,45.50674660497675,9.244137766657337,Padova,March,Sunday,21,9703,9655,1409,3707
45.483534247234346,9.234689838711363,Città Studi,45.48089445298861,9.135190267630497,Ippodromo del Galoppo,November,Wednesday,12,12283,10309,2096,2528
45.51805941000363,9.128352784119027,Vialba,45.447345977573455,9.213771686659934,Umbria - Molise,August,Saturday,18,33189,16954,2172,4303
45.502397527399125,9.201886007137986,Prato Centenaro,45.51724234331561,9.16651926108592,Affori,October,Thursday,18,5147,5193,1094,2012
45.47382057892298,9.220028138794548,Città Studi,45.50409840749086,9.207703619957897,Greco,November,Monday,12,4822,5515,879,2806
45.46428338562572,9.161821856521623,Washington,45.47002666619554,9.169610681370543,Magenta - San Vittore,January,Thursday,11,1243,1041,325,1109
45.48042632138165,9.203650379947456,Buenos Aires - Venezia,45.520783825643846,9.177889687685093,Parco Nord,March,Saturday,4,5506,7767,788,3390
45.48842383140159,9.20196079508883,Abbadesse,45.46305332762312,9.247573241887219,Cavriano,July,Wednesday,1,7390,10331,776,16538
45.46217668119644,9.253202329148767,Cascina Casanova,45.4463121121612,9.182890585105294,Ticinese,June,Monday,19,12337,7860,1146,3297
45.51799211772037,9.173582307200451,Affori,45.43436283645401,9.198178814283967,Ripamonti,May,Sunday,6,14327,11277,1590,3595
45.46814306181604,9.160352278375507,Pagano,45.519281021190324,9.131121250509688,Vialba,November,Tuesday,0,7869,7629,813,4059
45.515818367728116,9.23050674386224,Precotto,45.51052538408027,9.127677135346158,Musocco,July,Sunday,13,18200,23004,1153,4686
45.452938026394634,9.246215001714829,Taliedo,45.468964422386684,9.209993206030282,Porta Monforte,October,Sunday,14,5270,4281,892,2605
45.50566185989904,9.169782227023715,Dergano,45.461548987588095,9.182948763080015,Duomo,June,Tuesday,13,7805,7565,1536,2657
